reference,count
"bourdieu p., the field of cultural production, or: the economic world reversed, poetics, 12, pp. 311-356, (1983)",12
"bourdieu p., photography: a middle-brow art, (1990)",12
"bourdieu p., language and symbolic power, (1999)",12
"bourdieu p., some properties of fields, sociology in question, pp. 72-77, (1993)",12
"bourdieu p., passeron j.-c., reproduction in education, society, and culture, (1990)",12
"bourdieu p., les structures sociales de l'Ã©conomie, (2000)",11
"bourdieu p., sociologie de l'algÃ©rie, (1958)",11
"bourdieu p., (1990)",11
"bourdieu p., in other words: essays toward a reflexive sociology, (1990)",11
"bourdieu p., distinction: a social critique of the judgment of taste, (1986)",11
"bourdieu p., the forms of capital, readings in economic sociology, pp. 280-291, (2002)",11
"bourdieu p., practical reason. on the theory of action, (1998)",11
"bourdieu p., passeron j.-c., the inheritors, (1979)",11
"bourdieu p., the forms of capital, the sociology of economic life, pp. 96-111, (2001)",11
"bourdieu, outline of a theory of practice, (1977)",11
"bourdieu p., the forms of capital, education: culture, economy, and society, pp. 46-58, (1997)",11
"bourdieu p., distinction. a social critique of the judgment of taste, (1984)",11
"bourdieu p., et al., the weight of the world, (1999)",10
"bourdieu p., the genesis of the concepts of habitus and field, sociocriticism, 2, 2, pp. 11-24, (1985)",10
"bourdieu p., thompson j.b., language and symbolic power, (1991)",10
"bourdieu p., chamboredon j.-c., passeron j.-c., the craft of sociology, (1991)",10
"bourdieu p., raisons pratiques. sur la thÃ©orie de l'action, (1994)",10
"wacquant l., towards a reflexive sociology: a workshop with pierre bourdieu, sociological theory, 7, 1, pp. 26-63, (1989)",10
"bourdieu p., reproduction in education, society, and culture, (1977)",10
"bourdieu p., distinction: a social critique on the judgment of taste, (1984)",10
"bourdieu pierre, the forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",10
"bourdieu p., the social conditions of the international circulation of ideas, bourdieu: a critical reader, pp. 220-228, (1999)",10
"bourdieu p., le capital social: notes provisoires, actes de la recherche en sciences sociales, 31, pp. 2-3, (1980)",10
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, pp. 487-510, (1977)",10
"bourdieu p., passeron j.c., reproduction in education, society and culture, 4, (1990)",10
"wacquant l.j.d., towards a reflexive sociology: a workshop with pierre bourdieu, sociological theory, 7, 1, pp. 26-63, (1989)",10
"bourdieu p., symbolic power, critique of anthropology, 4, 13-14, pp. 77-85, (1979)",10
"bourdieu p., science de la science et rÃ©flexivitÃ©, (2001)",10
"bourdieu p., the peculiar history of scientific reason, sociological forum, 6, 1, pp. 3-26, (1991)",10
"bourdieu p., propos sur le champ politique, (2000)",10
"bourdieu p., the berber house or the world reversed, social science information, 9, 2, pp. 151-170, (1970)",9
"bourdieu p., passeron j., reproduction in education, society, and culture, (1977)",9
"bourdieu p., sport and social class, rethinking popular culture: contemporary perspectives in cultural studies, pp. 357-373, (1991)",9
"bourdieu p., distinction: a critique of the judgement of taste, (1984)",9
"bourdieu p., (1984)",9
"bourdieu p., the economics of linguistic exchanges, social science information, 16, pp. 645-668, (1977)",9
"bourdieu p., the forms of capital, education: culture, economy, society, (1997)",9
"bourdieu p., the forms of capital, education: culture, economy, society, pp. 46-58, (1997)",9
"bourdieu pierre, outline of a theory of practice, (1977)",9
"bourdieu p., questions de sociologie, (1984)",9
"bourdieu p., distinction: a social critique of the judgment of taste., (1984)",9
"bourdieu p., the rules of art: genesis and structure of the literary field, (1992)",9
"bourdieu p., the forms of capital, (1986)",9
"bourdieu p., social space and the genesis of groups, theory and society, 14, 6, pp. 723-744, (1985)",9
"bourdieu p., reproduction in education, society, culture, (1977)",9
"bourdieu p., darbel a., the love of art: european art museums and their public, (1991)",9
"bourdieu p., âthe forms of capital.â, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",9
"bourdieu p., the state nobility, (1998)",9
"bourdieu p., political interventions: social science and political action, (2008)",9
"bourdieu p., cultural reproduction and social reproduction, knowledge, education, and cultural change: papers in the sociology of education, pp. 71-112, (1973)",8
"bourdieu p., la distinction, critique sociale du jugement, (1979)",8
"bourdieu p., on the state: lectures at the collÃ¨ge de france, 1989â1992, (2014)",8
"bourdieu p., the economics of linguistic exchanges, social science information, 16, 6, pp. 645-668, (1977)",8
"bourdieu p., johnson r., the field of cultural production: essays on art and literature, (1993)",8
"bourdieu p., on the family as a realized category, theory, culture & society, 13, 3, pp. 19-26, (1996)",8
"bourdieu p., contre-feux, (1998)",8
"bourdieu pierre, distinction: a social critique of the judgment of taste, (1984)",8
"bourdieu p., sketch for a self-analysis, (2008)",8
"bourdieu p., acts of resistance: against the tyranny of the market, (1999)",8
"bourdieu p., ce que parler veut dire, (1982)",8
"bourdieu p., on the family as a realized category, theory, culture and society, 13, 3, pp. 19-26, (1996)",8
"bourdieu p., eagleton t., doxa and common life, new left review, 191, pp. 111-121, (1992)",8
"bourdieu p., la noblesse d'Ã©tat. grandes Ã©coles et esprit de corps, (1989)",8
"bourdieu p., (1986)",8
"bourdieu p., firing back: against the tyranny of the market, (2003)",8
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, sociological theory, 12, pp. 1-18, (1994)",8
"bourdieu p., wacquant l.j.d., farage s., rethinking the state: genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 1-18, (1994)",8
"bourdieu p., state nobility: elite schools in the field of power, (1996)",8
"bourdieu p., wacquant l., on the cunning of imperialist reason, theory, culture and society, 16, 1, pp. 41-58, (1999)",8
"bourdieu p., language and symbolic power., (1991)",8
"bourdieu p., distinction, a social critique of the judgement of taste, (1984)",8
"bourdieu p., distinction: a social critique of judgement of taste, (1984)",7
"bourdieu p., âthe forms of capitalâ, handbook of theory and research for the sociology of education, (1986)",7
"bourdieu p., chamboredon j.-c., passeron j.-c., le mÃ©tier de sociologue, (1968)",7
"bourdieu p., le capital social, actes de la recherche en sciences sociales, 31, pp. 2-3, (1980)",7
"bourdieu p., handbook of theory and research for the sociology of education, (1986)",7
"bourdieu p., darbel a., the love of art, (1991)",7
"bourdieu p., understanding, theory, culture & society, 13, 2, pp. 17-37, (1996)",7
"bourdieu p., a conservative revolution in publishing, translation studies, 1, 2, pp. 123-153, (2008)",7
"bourdieu p., the specificity of the scientific field and the social conditions of the progress of reason, social science information, 14, pp. 19-47, (1975)",7
"bourdieu p., distinction, (2010)",7
"bourdieu p., the forms of capital, the handbook of theory and research for the sociology of education, pp. 241-258, (1986)",7
"bourdieu p., esquisse pour une auto-analyse, (2004)",7
"bourdieu p., loic w., an invitation to reflexive sociology, (1992)",7
"bourdieu p., distinction: a social critique on the judgement of taste, (1984)",7
"bourdieu p., outline of the theory of practice, (1977)",7
"bourdieu p., wacquant l., an invitation to a reflexive sociology, (1992)",7
"bourdieu p., the forms of capital, handbook of theory and research for sociology of education, pp. 241-258, (1986)",7
"bourdieu p., state nobility, (1996)",7
"bourdieu p., the social structure of the economy, (2005)",7
"bourdieu, distinction: a social critique of the judgement of taste, (1984)",7
"bourdieu p., logic of practice, (1990)",7
"bourdieu p., forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1983)",7
"bourdieu p., wacquant l., an invitation to reflexive sociology., (1992)",7
"bourdieu p., mÃ©ditations pascaliennes., (1997)",7
"bourdieu p., distinctions, (1984)",7
"bourdieu p., rethinking the state",7
"bourdieu p., the logic of practice., (1990)",7
"bourdieu p., esquisse d'une thÃ©orie de la pratique, (1972)",7
"bourdieu p., passeron j.-c., reproduction in education, culture and society, (1977)",7
"bourdieu p., wacquant l., invitation to a reflexive sociology, (1992)",7
"bourdieu p., algerian sketches, (2013)",7
"bourdieu p., wacquant l.j.d., invitation to reflexive sociology, (1992)",7
"bourdieu p., haacke h., free exchange, (1995)",7
"bourdieu p., the market of symbolic goods, poetics, 14, 1-2, pp. 13-44, (1985)",7
"bourdieu p., esquisse dâune thÃ©orie de la pratique, (1972)",6
"bourdieu p., public opinion does not exist, communication and class struggle, 1, pp. 124-130, (1979)",6
"bourdieu p., power and ideology in education, pp. 487-511, (1977)",6
"bourdieu p., the forms of capital, handbook for theory and research for the sociology of education, (1986)",6
"bourdieu p., les rÃ¨gles de l'art. genÃ¨se et structure du champ littÃ©raire, (1992)",6
"bourdieu p., outline of a theory of practice, (1990)",6
"bourdieu p., outline of a theory of practice, (1989)",6
"bourdieu p., the forms of capital, education, culture, economy and society, pp. 46-58, (1997)",6
"bourdieu p., passeron j.c., la reproduction, (1970)",6
"bourdieu p., the market of symbolic goods, poetics, 14, pp. 13-44, (1985)",6
"bourdieu p., wacquant j.d., an invitation to reflexive sociology, (1992)",6
"bourdieu p., in other words. essays towards a reflexive sociology, (1990)",6
"bourdieu p., distinction: a social critique of the judgment of taste, (2010)",6
"bourdieu p., distinction: a social critique of judgement and taste, (1984)",6
"bourdieu p., langage et pouvoir symbolique, (2001)",6
"bourdieu p., sur la tÃ©lÃ©vision, (1996)",6
"bourdieu p., the weight of the world: social suffering in contemporary society, (2000)",6
"bourdieu p., distinction. a social critique of the judgement of taste, (1986)",6
"bourdieu p., manet: a symbolic revolution, (2017)",6
"bourdieu p., in other words: essays towards a reflexive sociology, (1994)",6
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 241-260, (1986)",6
"bourdieu p., principles of an economic anthropology, the handbook of economic sociology, pp. 75-89, (2005)",6
"bourdieu p., les conditions sociales de la circulation internationale des idÃ©es, actes de la recherche en sciences sociales, 145, pp. 3-8, (2002)",6
"bourdieu p., state nobility: elite schools in the field of power, (1998)",6
"bourdieu p., the field of cultural production., (1993)",6
"bourdieu pierre, wacquant loic j. d., an invitation to reflexive sociology, (1992)",6
"bourdieu p., outline of a theory of practice, (1997)",6
"bourdieu p., marriage strategies as strategies of social reproduction, family and society, pp. 117-144, (1976)",6
"bourdieu p., passeron j.c., reproduction in education, society and culture, (1970)",6
"bourdieu p., on television, (1999)",6
"bourdieu p., the force of law: toward a sociology of the juridical field, hastings law journal, 38, pp. 814-853, (1987)",6
"bourdieu p., the state nobility: elite schools in the field of power, (1989)",6
"bourdieu p., champ intellectuel et projet crÃ©ateur, les temps modernes, 246, pp. 865-906, (1966)",6
"bourdieu p., concluding remarks: for a sociogenetic understanding of intellectual works, bourdieu: critical perspectives, (1993)",6
"bourdieu p., forms of capital, handbook of theory and research for the sociology of education, (1983)",6
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (1983)",6
"bourdieu p., sociology in question, (1990)",6
"bourdieu p., distinction: a social critique of the judgment of taste, (1987)",6
"bourdieu p., passeron j.-c., la reproduction, (1970)",6
"bourdieu p., outline of a theory of practice, (2013)",6
"bourdieu p., outline of theory of practice, (1977)",6
"bourdieu p., political representation: elements for a theory of the political field, language and symbolic power, pp. 171-202, (1991)",6
"bourdieu p., forms of capital, handbook of theory and research for the sociology of education, (1986)",6
"bourdieu p., la domination masculine, actes de la recherche en sciences sociales, 84, pp. 2-31, (1990)",6
"bourdieu p., les rÃ¨gles de l'art: genÃ¨se et structure du champ littÃ©raire, (1992)",6
"bourdieu p., sketch for a self-analysis, (2004)",6
"bourdieu p., language and symbolic power, (1993)",6
"bourdieu p., passeron j.-c., reproduction: in education, society and culture, (1977)",6
"bourdieu p., distinction., (1984)",6
"bourdieu p., cultural reproduction and social reproduction, (1973)",6
"bourdieu p., distinction: a social critique of the judgement of taste, (1992)",6
"bourdieu p., physical space, social space and habitus, (1996)",5
"bourdieu p., distinctions: a social critique of the judgment of taste, (1984)",5
"bourdieu p., what makes a social class? on the theoretical and practical existence of groups, berkeley journal of sociology, pp. 1-17, (1987)",5
"bourdieu p., social space and the genesis of groups, theory and society, 14, pp. 723-744, (1985)",5
"bourdieu p., reproduction in education, society and culture, (1977)",5
"bourdieu p., waquant l., an invitation to reflexive sociology, (1992)",5
"bourdieu pierre, wacquant loic, an invitation to reflexive sociology, (1992)",5
"bourdieu p., distinction",5
"bourdieu p., le sens pratique., (1980)",5
"bourdieu p., vive la crise! for heterodoxy in social science, theory and society, 17, 5, pp. 773-787, (1988)",5
"bourdieu p., pascalian meditations, (1999)",5
"bourdieu p., passeron j.-c., the inheritors. french students and their relation to culture, (1979)",5
"bourdieu p., distinction: a social critique of the judgement of taste, (1989)",5
"bourdieu p., the peasant and his body, ethnography, 5, 4, pp. 579-599, (2004)",5
"bourdieu p., passeron c., reproduction in education, society and culture, (1977)",5
"bourdieu p., distinction, (1985)",5
"bourdieu p., participant objectivation, journal of the royal anthropological institute, 9, pp. 281-294, (2003)",5
"bourdieu p., distinction: a social critique of the judgement of taste, (1996)",5
"bourdieu p., passeron j.-c., les hÃ©ritiers. les Ã©tudiants et la culture, (1964)",5
"bourdieu p., darbel a., schnapper d., the love of art: european art museums and their public, (1991)",5
"bourdieu p., raisons pratiques: sur la thÃ©orie de l'action, (1994)",5
"bourdieu p., other words, (1990)",5
"bourdieu p., distinction: a social critique of the judgement of taste, (1985)",5
"bourdieu p., la noblesse d'Ã©tat, (1989)",5
"bourdieu p., passeron j., the inheritors, (1979)",5
"bourdieu p., thompson j., language and symbolic power, (1991)",5
"bourdieu p., the algerians, (1958)",5
"bourdieu p., vive la crise! for heterodoxy in social science, theory and society, 17, pp. 773-787, (1988)",5
"bourdieu p., genesis and structure of the religious field, comparative social research, 13, 1, pp. 1-44, (1991)",5
"bourdieu p., wacquant l., on the cunning of imperialist reason, theory, culture & society, 16, pp. 41-58, (1999)",5
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, state/culture: state formation after the cultural turn, pp. 53-75, (1999)",5
"bourdieu p., passeron j.-c., reproduction in education, society, culture, (1977)",5
"bourdieu p., the three forms of theoretical knowledge, social science information, 12, 1, pp. 53-80, (1973)",5
"bourdieu p., the field of cultural production. essays on art and literature, (1993)",5
"bourdieu p., habitus, habitus: a sense of place, pp. 43-52, (2005)",5
"bourdieu p., scattered remarks, european journal of social theory, 2, 3, pp. 334-340, (1999)",5
"bourdieu p., the forms of capital.â pp, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",5
"bourdieu p., chartier r., the sociologist and the historian, (2015)",5
"bourdieu p., distinction: a social critique of the judgement of taste, (2000)",5
"bourdieu p., job insecurity is everywhere now, acts of resistance: against the tyranny of the market, pp. 81-87, (1998)",5
"bourdieu p., distinction: a social critique of the judgement of taste, (2013)",5
"bourdieu p., the logic of practice., (1980)",5
"bourdieu p., the force of law: toward a sociology of the juridical field, the hastings law journal, 38, pp. 805-853, (1987)",5
"bourdieu, distinction: a social critique of the judgment of taste, (1984)",5
"bourdieu p., algerian landing, ethnography, 5, 4, pp. 415-443, (2004)",5
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, state/culture: state-formation after the cultural turn, pp. 53-75, (1999)",5
"bourdieu p., wacquant l., an invitation to reflexive sociology, (2007)",5
"bourdieu p., raisons pratiques, (1994)",5
"bourdieu p., passeron j.c., reproduction in education, culture and society, (1977)",5
"bourdieu p., men and machines, advances in social theory and methodology: toward an integration of micro- and macro-sociologies, pp. 304-317, (1981)",5
"bourdieu p., la noblesse d'etat. grandes Ã©coles et esprit de corps, (1989)",5
"bourdieu p., an outline of a theory of practice, (1977)",5
"bourdieu p., the forms of capital, readings in economic sociology, pp. 280-291, (1986)",5
"bourdieu p., practical reason: on the theory of action., (1998)",4
"bourdieu p., distinction: a social critique of the judgment of taste, (1989)",4
"bourdieu p., distinction: a social critique of the judgement of taste, translated by richard nice, (1984)",4
"bourdieu p., systems of education and systems of thought, knowledge and control, (1971)",4
"bourdieu p., sayad a., le dÃ©racinement: la crise de l'agriculture traditionnelle en algÃ©rie, (1964)",4
"bourdieu p., algeria 1960: the disenchantment of the world: the sense of honour: the kabyle house or the world reversed: essays, (1979)",4
"bourdieu p., chamboredon j.-c., passeron j.-c., the craft of sociology: epistemological preliminaries, (1968)",4
"bourdieu p., sociology in question, (1995)",4
"bourdieu p., passeron j.c., reproduction: in education, society and culture, (1977)",4
"bourdieu p., passeron j.-c., sociology and philosophy in france since 1945: death and resurrection of a philosophy without subject, social research, 34, 1, pp. 162-212, (1967)",4
"bourdieu p., outline of a theory of practice, trans, (1977)",4
"bourdieu p., ce que parler veut dire. l'Ã©conomie des Ã©changes linguistiques, (1982)",4
"bourdieu p., in other words: essays toward a reflective sociology, (1990)",4
"bourdieu p., le champ Ã©conomique, actes de la recherche en sciences sociales, 119, pp. 48-66, (1997)",4
"bourdieu p., structures, habitus, practices, the logic of practice, pp. 52-65, (1990)",4
"bourdieu p., sport and social class, information (international social science council), 17, 6, pp. 819-840, (1978)",4
"bourdieu p., intellectual field and creative project, social science information, 8, 2, pp. 89-119, (1969)",4
"bourdieu p., et al., la misÃ¨re du monde, (1993)",4
"bourdieu p., the field of cultural production, or: the economic world reversed, poetics, 12, 4, pp. 311-356, (1983)",4
"bourdieu p., making the economic habitus: algerian workers revisited, ethnography, 1, pp. 17-41, (2000)",4
"bourdieu p., distinction: a social critique of the judgement of taste, trans. r. nice, (1984)",4
"bourdieu p., jean-claude p., reproduction in education, society and culture, (1977)",4
"bourdieu p., wacquant l., newliberalspeak: notes on the new planetary vulgate, radical philosophy, 105, pp. 2-5, (2001)",4
"bourdieu p., systems of education and systems of thought, knowledge and control: new directions for the sociology of education, pp. 189-207, (1971)",4
"bourdieu p., the field of cultural production, or: the economic world reversed, the field of cultural production: essays on art and literature, pp. 29-73, (1983)",4
"bourdieu p., raisons pratiques: sur la thÃ©orie de lâaction, (1994)",4
"bourdieu p., the state nobility, (1989)",4
"bourdieu p., rethinking the state: on the genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 1-19, (1994)",4
"bourdieu p., language and symbolic power, (2003)",4
"bourdieu p., the genesis of the concepts of habitus and field, sociocriticism, 2, pp. 11-24, (1985)",4
"bourdieu p., distinction. a social critique of the judgement of taste, (1979)",4
"bourdieu p., distinction: a social critique of the judgment of taste, (1994)",4
"bourdieu p., âsocial space and symbolic powerâ, sociological theory, 7, 1, pp. 14-25, (1989)",4
"bourdieu p., the logic of practice (r. nice, trans.), (1990)",4
"bourdieu p., le bal des cÃ©libataires: crise de la sociÃ©tÃ© paysanne en bÃ©arn, (2002)",4
"bourdieu p., algeria 1960: the disenchantment of the world, the sense of honour, the kabyle house or the world reversed, (1979)",4
"bourdieu p., the social space and the genesis of groups, theory and society, 14, 6, (1985)",4
"bourdieu p., what makes a social class? on the theoretical and practical existence of groups, berkeley journal of sociology, 32, 1, pp. 1-17, (1987)",4
"bourdieu p., the forms of capital.â pp, handbook of theory and research for the sociology of education, (1986)",4
"bourdieu p., passeron j.-c., la reproduction. elÃ©ments pour une thÃ©orie du systÃ¨me d'enseignement, (1970)",4
"bourdieu p., passeron j.-c., les hÃ©ritiers, les Ã©tudiants et la culture, (1964)",4
"bourdieu p., questions de sociologie, (1981)",4
"bourdieu p., passeron j.-c., reproduction in education, society and culture, 4, (1990)",4
"bourdieu p., distinctions: a social critique of the judgement of taste, (1984)",4
"bourdieu p., practical reasons: on the theory of action, (1998)",4
"bourdieu p., le bal des cÃ©libataires, (2002)",4
"bourdieu p., rules of art: genesis and structure of the literary field, (1996)",4
"bourdieu p., wacquant l., an invitation to reflexive sociology, (1996)",4
"bourdieu p., the forms of capital, cultural theory: an anthology, pp. 81-93, (1986)",4
"bourdieu p., delsaut y., le couturier et sa griffe: contribution Ã  une thÃ©orie de la magie, actes de la recherche en sciences sociales, 1, 1, pp. 7-36, (1975)",4
"bourdieu p., social space and the genesis of appropriated physical space, international journal of urban and regional research, 42, 1, pp. 106-114, (2018)",4
"bourdieu p., boltanski l., the educational system and the economy: titles and jobs, french sociology: rupture and renewal since 1968, pp. 141-151, (1981)",4
"bourdieu p., the force of law: toward a sociology of the juridical field, hastings law j., 38, (1987)",4
"bourdieu p., passeron j.-c., reproduction, (1996)",4
"bourdieu p., the field of cultural production: essays on art and literature., (1993)",4
