top_reference,total_count
"bourdieu p., distinction: a social critique of the judgement of taste (r. nice, trans.), (1984)",19
"bourdieu p., participant objectivation, journal of the royal anthropological institute, 9, pp. 281-294, (2003)",19
"bourdieu p., acts of resistance, (1998)",19
"bourdieu p., chamboredon j.-c., passeron j.-c., the craft of sociology, (1991)",19
"bourdieu p., vive la crise! for heterodoxy in social science, theory and society, 17, 5, pp. 773-787, (1988)",18
"bourdieu p., the peculiar history of scientific reason, sociological forum, 6, 1, pp. 3-26, (1991)",18
"bourdieu p., thompson j.b., language and symbolic power, (1991)",18
"bourdieu p., esquisse dâune thÃ©orie de la pratique, prÃ©cÃ©dÃ© de trois Ã©tudes dâethnologie kabyle, (1972)",18
"bourdieu p., ce que parler veut dire. l'Ã©conomie des Ã©changes linguistiques, (1982)",17
"bourdieu p., photography: a middle-brow art, (1990)",17
"bourdieu p., on the state, (2014)",17
"bourdieu p., rethinking the state: genesis and structure of the bureaucratic field, state/culture: state-formation after the cultural turn, pp. 53-75, (1999)",17
"bourdieu p., les rÃ¨gles de l'art. genÃ¨se et structure du champ littÃ©raire, (1992)",17
"bourdieu p., passeron j.-c., the inheritors, (1979)",16
"bourdieu p., program for a sociology of sport, sociology of sport journal, 5, 2, pp. 153-161, (1988)",16
"bourdieu p., concluding remarks: for a sociogenetic understanding of intellectual works, bourdieu: critical perspectives, (1993)",15
"bourdieu p., handbook of theory and research for the sociology of education, (1986)",15
"bourdieu p., esquisse d'une thÃ©orie de la pratique, (1972)",15
"bourdieu p., sport and social class, rethinking popular culture: contemporary perspectives in cultural studies, pp. 357-373, (1991)",15
"bourdieu p., the social conditions of the international circulation of ideas, bourdieu: a critical reader, pp. 220-228, (1999)",15
"bourdieu p., some properties of fields, sociology in question, pp. 72-77, (1993)",15
"bourdieu p., les structures sociales de l'Ã©conomie, (2000)",15
"bourdieu p., passeron j.-c., les hÃ©ritiers. les Ã©tudiants et la culture, (1964)",14
"bourdieu p., cÃ©libat et condition paysanne, etudes rurales, 5, 6, pp. 32-136, (1962)",14
"bourdieu p., understanding, theory, culture & society, 13, 2, pp. 17-37, (1996)",14
"bourdieu p., the biographical illusion, identity: a reader, pp. 297-303, (2000)",14
"bourdieu p., science de la science et rÃ©flexivitÃ©, (2001)",14
"bourdieu p., les conditions sociales de la circulation internationale des idÃ©es, actes de la recherche en sciences sociales, 145, pp. 3-8, (2002)",14
"bourdieu p., chamboredon j.-c., passeron j.-c., le mÃ©tier de sociologue, (1968)",14
"bourdieu p., le capital social, actes de la recherche en sciences sociales, 31, pp. 2-3, (1980)",14
"bourdieu p., wacquant l.j.d., farage s., rethinking the state: genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 1-18, (1994)",14
"bourdieu p., intellectual field and creative project, social science information, 8, 2, pp. 89-119, (1969)",13
"bourdieu p., pascalian meditations., (2000)",13
"bourdieu p., les trois Ã©tats du capital culturel, actes de la recherche en sciences sociales, 30, pp. 3-6, (1979)",13
"bourdieu p., eagleton t., doxa and common life, new left review, 191, pp. 111-121, (1992)",13
"bourdieu p., the bachelor's ball, (2008)",12
"bourdieu p., the bachelors' ball: the crisis of peasant society in bÃ©arn, (2008)",12
"bourdieu p., principles of an economic anthropology, the handbook of economic sociology, pp. 75-89, (2005)",12
"bourdieu p., algeria 1960: the disenchantment of the world, the sense of honour, the kabyle house or the world reversed, (1979)",12
"bourdieu p., loic w., an invitation to reflexive sociology, (1992)",11
"bourdieu p., la domination masculine, actes de la recherche en sciences sociales, 84, pp. 2-31, (1990)",11
"bourdieu p., outline of a theory of practice, translated by richard nice, (1977)",11
"bourdieu p., the attitude of the algerian peasant toward time, mediterranean countrymen, pp. 55-72, (1963)",11
"bourdieu p., sport and social class social sciences information, information sur les sciences sociales, 17, 6, pp. 819-840, (1978)",11
"bourdieu p., outline of a theory of practice (translated by richard nice), (1977)",11
"bourdieu p., political representation: elements for a theory of the political field, language and symbolic power, pp. 171-202, (1991)",11
"bourdieu p., sur l'Ã©tat: cours au collÃ¨ge de france, 1989-1992, (2012)",11
"bourdieu p., the berber house or the world reversed, social science information, 9, 2, pp. 151-170, (1970)",11
"bourdieu p., the school as a conservative force: scholastic and cultural inequalities, schooling and capitalism: a sociological reader, (1976)",11
"bourdieu p., men and machines, advances in social theory and methodology: toward an integration of micro- and macro-sociologies, pp. 304-317, (1981)",10
"bourdieu p., avenir de classe et causalitÃ© du probable, revue franÃ§aise de sociologie, 15, 1, pp. 3-42, (1974)",10
"bourdieu p., champ intellectuel et projet crÃ©ateur, les temps modernes, 246, pp. 865-906, (1966)",10
"bourdieu p., passeron j.-c., sociology and philosophy in france since 1945: death and resurrection of a philosophy without subject, social research, 34, 1, pp. 162-212, (1967)",10
"bourdieu p., wacquant l.j.d., rÃ©ponses. pour une anthropologie reflexive, (1992)",10
"bourdieu p., genÃ¨se et structure du champ religieux, revue franÃ§aise de sociologie, 12, 3, pp. 295-334, (1971)",10
"bourdieu p., the contradictions of inheritance, weight of the world: social suffering in contemporary society, pp. 507-513, (1999)",10
"bourdieu p., lâillusion biographique, actes de la recherche en sciences sociales, 62-63, pp. 69-72, (1986)",10
"bourdieu p., esquisse pour une auto-analyse, (2004)",10
"bourdieu p., darbel a., rivet j.-p., seibel c., travail et travailleurs en algÃ©rie, (1963)",10
"bourdieu p., sur la tÃ©lÃ©vision, (1996)",10
"bourdieu p., propos sur le champ politique, (2000)",10
"bourdieu p., a conservative revolution in publishing, translation studies, 1, 2, pp. 123-153, (2008)",10
"bourdieu p., intellectual field and creative project, knowledge and control: new directions for the sociology of education, pp. 161-188, (1971)",10
"bourdieu p., boltanski l., la production de lâidÃ©ologie dominante, actes de la recherche en sciences sociales, 2, 2-3, pp. 3-73, (1976)",10
"bourdieu p., la distinciÃ³n: criterio y bases sociales del gusto, (1979)",10
"bourdieu p., algerian landing, ethnography, 5, 4, pp. 415-443, (2004)",10
"bourdieu p., ce que parler veut dire, (1982)",9
"bourdieu p., cultural reproduction and social reproduction, (1973)",9
"bourdieu p., marriage strategies as strategies of social reproduction, family and society, pp. 117-144, (1976)",9
"bourdieu p., the logic of practice (r. nice, trans.), (1990)",9
"bourdieu p., political interventions: social science and political action, (2008)",9
"bourdieu p., the peasant and his body, ethnography, 5, 4, pp. 579-599, (2004)",9
"bourdieu p., delsaut y., le couturier et sa griffe: contribution Ã  une thÃ©orie de la magie, actes de la recherche en sciences sociales, 1, 1, pp. 7-36, (1975)",9
"bourdieu p., the forms of capital, (1986)",9
"bourdieu p., travail et travailleurs en algÃ©rie, (1963)",9
"bourdieu p., understanding, the weight of the world: social suffering in contemporary society, pp. 607-626, (1999)",9
"bourdieu p., haacke h., free exchange, (1995)",9
"bourdieu p., social space and symbolic power, in other words: essays towards a reflexive sociology, pp. 123-139, (1990)",9
"bourdieu p., handbook of theory of research for the sociology of education, pp. 241-258, (1986)",9
"bourdieu, boltanski, changes in social structure and changes in the demand for education, contemporary europe: social structure and cultural patterns, pp. 197-227, (1978)",8
"bourdieu p., the three forms of theoretical knowledge, social science information, 12, 1, pp. 53-80, (1973)",8
"bourdieu p., the sentiment of honour in kabyle society, honour and shame: the values of mediterranean society, pp. 191-241, (1965)",8
"bourdieu p., the forms of capital, pp. 241-258, (1986)",8
"bourdieu p., jean-claude p., reproduction in education, society and culture, (1977)",8
"bourdieu, l'Ã©cole conservatrice: les inÃ©galitÃ©s devant l'Ã©cole et devant la culture, revue franÃ§aise de sociologie, 7, pp. 225-226, (1966)",8
"bourdieu p., power and ideology in education, pp. 487-511, (1977)",8
"bourdieu p., public opinion does not exist, communication and class struggle, 1, pp. 124-130, (1979)",8
"bourdieu p., darbel a., the love of art, (1991)",8
"bourdieu p., symbolic capital and social classes, journal of classical sociology, 13, 2, pp. 292-302, (2013)",8
"bourdieu p., le bal des cÃ©libataires: crise de la sociÃ©tÃ© paysanne en bÃ©arn, (2002)",8
"bourdieu p., what makes a social class?, berkeley journal of sociology, 32, pp. 1-17, (1987)",8
"bourdieu p., de saint martin m., le patronat, actes de la recherche en sciences sociales, 20, pp. 3-82, (1978)",8
"bourdieu p., contre-feux, (1998)",8
"bourdieu p., accardo a., balazs g., beaud s., bonvin f., bourdieu e., bourgois p., et al., the weight of the world: social suffering in contemporary society, (1999)",8
"bourdieu p., passeron j.-c., reproduction in education, (1977)",7
"bourdieu p., the aristocracy of culture, media, culture and society, 2, pp. 225-254, (1980)",7
"bourdieu p., die feinen unterschiede. kritik der gesellschaftlichen urteilskraft, (1982)",7
"bourdieu p., un art moyen: essai sur les usages sociaux de la photographie, (1965)",7
"bourdieu p., education: culture, economy, and society, pp. 46-58, (1997)",7
"bourdieu p., scattered remarks, european journal of social theory, 2, 3, pp. 334-340, (1999)",7
"bourdieu p., identity and representation: elements for a critical reflection on the idea of region, language and symbolic power, pp. 220-228, (1991)",7
"bourdieu p., manet: une rÃ©volution symbolique, (2013)",7
"bourdieu p., le champ scientifique, actes de la recherche en sciences sociales, 2, 2, pp. 88-104, (1976)",7
"bourdieu p., boltanski l., the educational system and the economy: titles and jobs, french sociology: rupture and renewal since 1968, pp. 141-151, (1981)",7
"bourdieu p., langage et pouvoir symbolique, (2001)",7
"bourdieu p., manet: a symbolic revolution, (2017)",7
"bourdieu p., outline of a theory of practice. (r. nice, trans.), (1977)",7
"bourdieu p., chartier r., the sociologist and the historian, (2015)",7
"bourdieu p., erving goffman: discoverer of the infinitely small, theory, culture and society, 2, 1, pp. 112-113, (1983)",7
"bourdieu p., wacquant l., the purpose of reflexive sociology (the chicago workshop), an invitation to reflexive sociology, (1992)",7
"bourdieu p., structuralism and theory of sociological knowledge, social research, 35, pp. 681-706, (1968)",7
"bourdieu p., algerian sketches, (2013)",7
"bourdieu p., first lecture. social space and symbolic space: introduction to a japanese reading of distinction, poetics today, 12, 4, pp. 627-638, (1991)",7
"bourdieu p., physical space, social space and habitus, (1996)",7
"bourdieu p., the peasant and photography, ethnography, 5, 4, pp. 601-616, (2004)",7
"bourdieu p., site effects, the weight of the world: social suffering in contemporary society, pp. 123-129, (1999)",7
"bourdieu p., thinking about limits, theory, culture and society, 9, 1, pp. 37-49, (1992)",7
"bourdieu p., le champ Ã©conomique, actes de la recherche en sciences sociales, 119, pp. 48-66, (1997)",7
"bourdieu p., la noblesse d'Ã©tat, (1989)",7
"bourdieu p., rethinking the state",7
"bourdieu p., homo academicus, translated by peter collier, (1988)",7
"bourdieu p., programme for a sociology of sport, in other words: essays towards a reflexive sociology, pp. 156-167, (1990)",6
"bourdieu p., outline of a theory of practice cambridge, cambridge university press, (1977)",6
"bourdieu p., the school as a conservative force, contemporary research in the sociology of education, (1974)",6
"bourdieu p., chamboredon j.-c., passeron j.-c., le mÃ©tier de sociologue. prÃ©alables Ã©pistÃ©mologiques, (1968)",6
"bourdieu p., the social space and the genesis of groups, social science information, 24, 2, pp. 195-220, (1985)",6
"bourdieu p., passeron j.-c., les hÃ©ritiers, (1964)",6
"bourdieu p., le marchÃ© des biens symboliques, l'annÃ©e sociologique, 22, pp. 49-126, (1971)",6
"bourdieu p., forms of capital, the routledgefalmer reader in sociology of education, (2004)",6
"bourdieu p., systems of education and systems of thought, knowledge and control, (1971)",6
"bourdieu p., structures, habitus, practices, the logic of practice, pp. 52-65, (1990)",6
"bourdieu p., the scholastic point of view, cultural anthropology, 5, 4, pp. 380-391, (1990)",6
"bourdieu p., haute couture and haute culture, sociology in question, pp. 132-138, (1993)",6
"bourdieu p., distinction",6
"bourdieu p., is a disinterested act possible?, practical reason: on the theory of action, (1998)",6
"bourdieu p., outline of a sociological theory of art perception, international social science journal, 20, pp. 589-612, (1968)",6
"bourdieu p., whiteside s., photography: a middle-brow art, (1996)",6
"bourdieu p., job insecurity is everywhere now, acts of resistance: against the tyranny of the market, pp. 81-87, (1998)",6
"bourdieu p., sayad a., uprooting: the crisis of traditional agriculture in algeria, (2020)",6
"bourdieu p., contre-feux. propos pour servir Ã  la rÃ©sistance contre l'invasion nÃ©o-libÃ©rale, (1998)",6
"bourdieu p., distinction, trans richard nice, (1984)",6
"bourdieu p., the forms of capital., education: culture, economy, and society, (1986)",6
"bourdieu p., passeron j.-c., saint-martin m., academic discourse, (1994)",6
"bourdieu p., distinction: a social critique of the judgement of taste. trans. r. nice, (1986)",6
"bourdieu p., wacquant l., from ruling class to field of power, theory, culture & society, 10, 3, pp. 19-44, (1993)",6
"bourdieu p., wacquant l., symbolic violence, violence in war and peace: an anthology, pp. 272-274, (2004)",6
"bourdieu p., (2000)",6
"bourdieu p., social space and the genesis of 'classes, language and symbolic power, pp. 229-251, (1991)",6
"bourdieu p., la misere du monde, (1993)",5
"bourdieu p., systems of education and systems of thought, knowledge and control: new directions for the sociology of education, pp. 189-207, (1971)",5
"bourdieu p., la production de la croyance: contribution Ã  une Ã©conomie des biens symboliques, actes de la recherche en sciences sociales, 13, pp. 3-43, (1977)",5
"bourdieu p., lâidentite et la representation: elements pour une reflexion critique sur lâidÃ©e de rÃ©gion, actes de la recherche en sciences sociales, 35, pp. 63-71, (1980)",5
"bourdieu p., the attitude of the algerian peasant toward time, mediterranean countrymen: essays in the social anthropology of the mediterranean, (1963)",5
"bourdieu p., leÃ§on sur la leÃ§on, (1982)",5
"bourdieu p., epilogue: on the possibility of a field of world sociology, social theory for a changing society, pp. 373-387, (1991)",5
"bourdieu pierre, passeron jean-claude, reproduction in education, society and culture, (1990)",5
"bourdieu p., les rÃ©gles de l'art, (1992)",5
"bourdieu p., outline of a sociological theory of art perception, the field of cultural production, pp. 215-239, (1993)",5
"bourdieu p., anthropologie Ã©conomique. cours au collÃ¨ge de france 1992â1993, (2017)",5
"bourdieu p., the logic of practice, trans. r. nice, (1990)",5
"bourdieu p., wacquant l.j.d., the purpose of reflexive sociology, an invitation to reflexive sociology, pp. 61-215, (1992)",5
"bourdieu p., the forms of capital, the routledgefalmer reader in sociology of education, pp. 15-29, (1986)",5
"bourdieu p., social space and the genesis of appropriated physical space, international journal of urban and regional research, 42, 1, pp. 106-114, (2018)",5
"bourdieu p., distinction: a social critique of taste, (1984)",5
"bourdieu p., raisons pratiques, (1994)",5
"bourdieu p., champ du pouvoir et division du travail de domination, actes de la recherche en sciences sociales, 190, pp. 126-139, (2011)",5
"bourdieu p., the corporatism of the universal: the role of intellectuals in the modern world, telos, 21, 81, pp. 99-110, (1989)",5
"bourdieu p., sayad a., colonial rule and cultural sabir, ethnography, 5, 4, pp. 544-586, (2004)",5
"bourdieu p., the forms of capital, readings in economic sociology, (2001)",5
"bourdieu p., Ã¶konomisches kapital, kulturelles kapital, soziales kapital, soziale welt sonderband, 2, pp. 183-198, (1983)",5
"bourdieu p., richardson j., the forms of capital, handbook of theory and research for the sociology of education, (1986)",5
"bourdieu p., a reasoned utopia and economic fatalism, new left review, 227, pp. 125-130, (1998)",5
"bourdieu p., boltanski l., la production de l'idÃ©ologie dominante, (2008)",5
"bourdieu p., richardson j.g., the forms of capital."" pp, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",5
"bourdieu p., structures, habitus, power: basis for a theory of symbolic power, culture/power/history: a reader in contemporary social theory, pp. 155-199, (1994)",5
"bourdieu p., symbolic power, identity and structure: issues in the sociology of education, pp. 112-119, (1977)",5
"bourdieu p., wacquant l., the organic ethnologist of algerian migration, ethnography, 1, 2, pp. 173-182, (2000)",5
"bourdieu p., outline of a theory of practice, cambridge studies in social anthropology, 16, (1977)",5
"bourdieu p., algÃ©rie 60. structures Ã©conomiques et structures temporelles, (1977)",5
"bourdieu p., how can one be a sportsman?, sociology in question, pp. 117-131, (1993)",5
"bourdieu p., sport and social class, information (international social science council), 17, 6, pp. 819-840, (1978)",5
"bourdieu p., photography: a middle-brow art, (1965)",5
"bourdieu p., boltanski l., castel r., chamboredon j.-c., un art moyen, essai sur les usages sociaux de la photographie, (1965)",5
"bourdieu p., boltanski l., castel r., chamboredon j.-c., schnapper d., photography: a middle-brow art, (1990)",5
"bourdieu p., el sentido prÃ¡ctico, (1991)",5
"bourdieu p., the field of cultural production, or: the economic world reversed, the field of cultural production: essays on art and literature, pp. 29-73, (1983)",5
"bourdieu p., masculine domination revisited, berkeley journal of sociology, 41, pp. 189-203, (1997)",5
"bourdieu p., wacquant l., rÃ©ponses, (1992)",5
"bourdieu p., accardo a., balazs g., et al., the weight of the world. social suffering in contemporary society, (1999)",5
"bourdieu p., rÃ©ponses. pour une anthropologie rÃ©flexive, (1992)",5
"bourdieu p., (1977)",5
"bourdieu p., the logic of practice (translated by richard nice), (1990)",5
"bourdieu p., the forms of capital, handbook of theory and research in education, pp. 241-258, (1986)",4
"bourdieu p., from rules to strategies: an interview with pierre bourdieu, cultural anthropology, 1, pp. 110-120, (1986)",4
"bourdieu p., the historical genesis of a pure aesthetic, journal of aesthetics and art criticism, 46, pp. 201-210, (1987)",4
"bourdieu p., vive la crise!, theory and society, 17, 5, pp. 773-787, (1988)",4
"bourdieu p., the logic of practice",4
"bourdieu p., coleman j.s., social theory for a changing society, (1991)",4
"bourdieu p., et al., l'amour de l'art. les musÃ©es d'art europÃ©ens et leur public, (1966)",4
"bourdieu p., Ã¶konomisches kapital, kulturelles kapital, soziales kapital, soziale ungleichheiten, sonderband 2, soziale welt, pp. 183-198, (1983)",4
"bourdieu p., sur le pouvoir symbolique., annales, 3, pp. 405-411, (1977)",4
"bourdieu p., marginalia-some additional notes on the gift, the logic of the gift: toward and ethic of generosity, pp. 231-241, (1997)",4
"bourdieu p., habitus, code et codification, actes de la recherche en sciences sociales, 64, 1, pp. 40-44, (1986)",4
"bourdieu p., utopia of endless exploitation: the essence of neoliberalism, le monde diplomatique, (1998)",4
"bourdieu p., boltanski l., saint-martin m.d., les stratÃ©gies de re-conversion. les classes sociales et le systÃ¨me dâenseignement, informations sur les sciences sociales, 12, 5, pp. 61-113, (1973)",4
"bourdieu p., some properties of fields, sociology in question, (1993)",4
"bourdieu pierre, from the kingâs house to the reason of state: a model of the genesis of the bureaucratic field, constellations, 11, 1, pp. 16-36, (2004)",4
"bourdieu p., sociology in question, pp. 72-77, (1993)",4
"bourdieu p., passeron c., reproduction in society, education and culture, (1977)",4
"bourdieu p., sozialer sinn. kritik der theoretischen vernunft, (1987)",4
"bourdieu p., darbel a., schnapper d., the love of art, (1990)",4
"bourdieu p., men and machines, advances in social theory and methodology, pp. 304-317, (1981)",4
"bourdieu p., a lecture on the lecture, in other words: essays towards a reflexive sociology, pp. 177-198, (1990)",4
"bourdieu p., the specificity of the scientific field and the social conditions of the progress of reason, the science studies reader, pp. 31-50, (1999)",4
"bourdieu p., rÃ©volution dans la rÃ©volution, esprit, 1, pp. 27-40, (1961)",4
"bourdieu p., le bal des cÃ©libataires, (2002)",4
"bourdieu p., et al.,  the abdication of the state,, the weight of the world: social suffering in contemporary society, pp. 181-188, (1999)",4
"bourdieu p., contre-feux 2, (2001)",4
"bourdieu p., remarques provisoires sur la perception sociale du corps, actes de la recherche en sciences sociales, 14, pp. 51-54, (1977)",4
"bourdieu p., marriage strategies as strategies of social reproduction, family and society. selections from the annales. economoes, sociÃ©tiÃ©s, civilisations, pp. 117-144, (1976)",4
"bourdieu p., boltanski l., le titre et le poste. rapports entre le systÃ¨me de production et le systÃ¨me de reproduction, actes de la recherche en sciences sociales, 2, pp. 95-107, (1975)",4
"bourdieu p., elÃ©ments d'une thÃ©orie sociologique de la perception artistique, revue internationale des sciences sociales, 20, 4, pp. 640-664, (1968)",4
"bourdieu p., boltanski l., le fÃ©tichisme de la langue, actes de la recherche en sciences sociales, 1, 4, pp. 1-32, (1975)",4
"bourdieu p., the forms of capital.â pp. 241â258, handbook of theory and research for the sociology of education, (1986)",4
"bourdieu p., the biographical illusion, identity, pp. 297-303, (2000)",4
"bourdieu p., sociologie gÃ©nÃ©rale: cours au collÃ¨ge de france 1981-1983, (2015)",4
"bourdieu p., la dominaciÃ³n masculina, (2000)",4
"bourdieu p., esprits d'Ã©tat. genÃ¨se et structure du champ bureaucratique, actes de la recherche en sciences sociales, 96-97, pp. 49-62, (1993)",4
"bourdieu p., passeron j.-c., de saint martin m., academic discourse: linguistic misunderstanding and professorial power, (1994)",4
"bourdieu p., the forms of capital, education, globalization and social change, pp. 105-118, (2006)",4
"bourdieu p., passeron j.c., reproduction in education, society and culture. translated by richard nice, (1990)",4
"bourdieu p., on symbolic power, language and symbolic power, pp. 163-170, (1991)",4
"bourdieu p., systems of education and systems of thought, social science information, 14, pp. 338-358, (1967)",3
"bourdieu p., espace sociale et genÃ¨se des âclassesâ, actes de la recherche en sciences sociales, 53-54, pp. 3-12, (1984)",3
"bourdieu p., distinction: a critique of the social judgement of taste, (1986)",3
"bourdieu p., systems of education and systems of thought, schooling and capitalism: a sociological reader, (1976)",3
"bourdieu p., power and ideology in education, (1977)",3
"bourdieu p., les stratÃ©gies matrimoniales dans le systÃ¨me de reproduction, annales, 27, 4-5, pp. 1105-1127, (1972)",3
"bourdieu p., wacquant l., introduction to reflexive sociology, (1992)",3
"bourdieu p., towards a theory of practice, (1977)",3
"bourdieu p., l'opinion publique n'existe pas, les temps modÃ¨rnes, 318, pp. 1292-1309, (1973)",3
