flag,keyword
body_capital,physical hexis
body_capital,bodily hexis
body_capital,corporeal hexis
body_capital,body schema
body_capital,embodied dispositions
body_capital,physical dispositions
body_capital,body conditioning
body_capital,bodily knowledge
body_capital,body as resource
body_capital,physical appearance
body_capital,bodily deportment
body_capital,physical presentation
body_capital,bodily self-control
body_capital,physical prowess
body_capital,body practices
body_capital,embodied value
emotional_capital,emotional capital
emotional_capital,affective capital
emotional_capital,emotional dispositions
emotional_capital,emotional capacities
emotional_capital,affective competence
doxa,doxa
doxa,doxic experience
doxa,doxic belief
doxa,self-evident truths
doxa,taken-for-granted
doxa,universe of the undiscussed
doxa,universe of the undisputed
doxa,unquestioned beliefs
doxa,that which goes without saying
doxa,natural attitude
doxa,common-sense world
doxa,undisputed presuppositions
doxa,unthought categories of thought
doxa,practical faith
doxa,silent experience of the world
doxa,ordinary order of things
doxa,self-evident necessity
doxa,universal adhesion
doxa,undiscussed and undisputed common beliefs
doxa,immediate adherence
doxa,primordial experience of the social world
doxa,tacit consensus on the meaning of the world
illusio,illusio
illusio,investment in the game
illusio,being in the game
illusio,belief in the game
illusio,interest in the game
illusio,being caught up in the game
illusio,taking the game seriously
illusio,feel for the game
illusio,sense of the game
illusio,being taken in by the game
illusio,social libido
illusio,specific form of interest
illusio,committed involvement
illusio,specific illusio
illusio,enchanted relation
illusio,fundamental complicity
illusio,collective belief in the game
illusio,tacit recognition of the value of the stakes
illusio,practical mastery of the game's laws
illusio,adhesion to the axioms of the field
illusio,specific investment
illusio,visceral commitment to the game
illusio,being possessed by the game
cultural_production,cultural production
cultural_production,field of cultural production
cultural_production,restricted field of production
cultural_production,autonomous production
cultural_production,heteronomous production
cultural_production,symbolic goods
cultural_production,cultural goods
cultural_production,symbolic production
cultural_production,production for producers
cultural_production,art for art's sake
cultural_production,hierarchy of legitimacies
cultural_production,cultural legitimacy
cultural_production,symbolic revolution
cultural_production,cultural legitimation
cultural_production,struggle for legitimacy
cultural_production,symbolic profit
cultural_production,position-takings
cultural_production,artistic field
cultural_production,literary field
cultural_production,subfield of restricted production
cultural_production,cultural economy
cultural_production,economy of symbolic goods
symbolic_power,symbolic power
symbolic_power,symbolic violence
symbolic_power,language and symbolic power
symbolic_power,misrecognition
symbolic_power,gentle violence
symbolic_power,invisible violence
symbolic_power,power of constitution
symbolic_power,symbolic domination
symbolic_power,imposition of legitimacy
symbolic_power,unrecognized violence
symbolic_power,arbitrary power
symbolic_power,disguised power
symbolic_power,power of naming
symbolic_power,power of representation
symbolic_power,euphemized violence
symbolic_power,symbolic efficacy
symbolic_power,naturalized domination
symbolic_power,misrecognized domination
symbolic_power,legitimate vision of the world
symbolic_power,complicity of the dominated
symbolic_power,power of imposing categories
reproduction,reproduction
reproduction,logics of transmission
reproduction,social reproduction
reproduction,cultural reproduction
reproduction,strategies of reproduction
reproduction,mode of reproduction
reproduction,structural reproduction
reproduction,educational reproduction
reproduction,mechanisms of reproduction
reproduction,reproduction strategies
reproduction,hereditary transmission
reproduction,class reproduction
reproduction,differential reproduction
reproduction,social heredity
reproduction,conservation of social positions
reproduction,inheritance of positions
reproduction,self-reproduction
field,social field
field,field theory
field,fields theory
field,fields of struggle
field,field autonomy
field,field heteronomy
field,field of power
field,field of forces
field,field of struggles
field,space of positions
field,structured space
field,specific nomos
field,relative autonomy
field,autonomous field
field,heteronomous field
field,field-specific capital
field,field of possibles
field,space of possibles
field,field of position-takings
field,field logic
field,field effects
field,field boundaries
field,homologous positions
autonomy,relative autonomy
autonomy,autonomous principle
autonomy,heteronomous principle
autonomy,autonomous pole
autonomy,heteronomous pole
autonomy,autonomous field
autonomy,heteronomous field
autonomy,autonomous production
autonomy,heteronomous production
autonomy,autonomous logic
autonomy,heteronomous logic
autonomy,autonomous position
autonomy,heteronomous position
autonomy,field autonomy
autonomy,autonomous sub-field
autonomy,degree of autonomy
autonomy,principle of autonomy
autonomy,specific autonomy
autonomy,institutional autonomy
autonomy,scientific autonomy
autonomy,artistic autonomy
autonomy,double autonomy
autonomy,autonomous hierarchy
autonomy,heteronomous hierarchy
homology,homology
homology,structural homology
homology,homologous positions
homology,homologous structures
homology,homology of positions
homology,position homologies
homology,homologous relation
homology,homologous transformations
homology,objective relations
homology,structural correspondence
homology,structural isomorphism
homology,positional homology
homology,field homology
homology,space homology
homology,correspondence of structures
homology,objective homology
homology,class homology
homology,homological relations
homology,homologous struggles
homology,homologous opposition
homology,structural parallels
homology,correspondent structures
homology,relational homology
homology,homologous space
disposition,system of dispositions
disposition,durable dispositions
disposition,transposable dispositions
disposition,acquired dispositions
disposition,embodied dispositions
disposition,structured dispositions
disposition,structuring dispositions
disposition,generative dispositions
disposition,primary dispositions
disposition,secondary dispositions
disposition,class dispositions
disposition,bodily dispositions
disposition,cognitive dispositions
disposition,practical dispositions
disposition,mental dispositions
disposition,perceptual dispositions
disposition,scheme of dispositions
disposition,mental structures
disposition,dispositional properties
disposition,dispositional system
disposition,acquired schemes
disposition,dispositional tendencies
disposition,schemes of thought
relational_sociology,relational sociology
relational_sociology,sociology of relations
relational_sociology,relational logic
relational_sociology,relational thinking
relational_sociology,relational analysis
relational_sociology,relational method
relational_sociology,relational approach
relational_sociology,relational philosophy
relational_sociology,relational mode of thought
relational_sociology,relational perspective
relational_sociology,structural relations
relational_sociology,system of relations
relational_sociology,network of relations
relational_sociology,relational properties
relational_sociology,relational epistemology
relational_sociology,relational concepts
relational_sociology,system of objective relations
relational_sociology,relational positions
relational_sociology,field of relations
relational_sociology,relational ontology
relational_sociology,relational model
relational_sociology,structural relationalism
social_space,social space
social_space,spatial positioning
social_space,space of lifestyles
social_space,space of positions
social_space,multidimensional space
social_space,space of social positions
social_space,geometric model of social space
social_space,two-dimensional space
social_space,symbolic space
social_space,space of position-takings
social_space,space of possibles
social_space,space of differences
social_space,field of forces
social_space,objective space
social_space,physical space
social_space,reified social space
social_space,appropriated physical space
social_space,class locations
social_space,position in space
social_space,social distance
social_space,geometric metaphor
social_space,geometry of social positions
social_space,distribution of properties
practice,sociology of practice
practice,practice theory
practice,theory of practice
practice,logic of practice
practice,practical logic
practice,practical knowledge
practice,practical sense
practice,practical reasoning
practice,practical rationality
practice,practical mastery
practice,practical comprehension
practice,practical belief
practice,practical understanding
practice,practical strategies
practice,practical mimesis
practice,feel for the game
practice,sens pratique
practice,practice as strategy
practice,unconscious practice
practice,incorporated practice
practice,embodied practice
practice,practical schemas
practice,improvisational practice
reflexivity_giddens,structuration theory
reflexivity_giddens,reflexive modernization
reflexivity_giddens,reflexive monitoring
reflexivity_giddens,institutionalized reflexivity
reflexivity_giddens,reflexive biography
reflexivity_giddens,reflexive project of the self
reflexivity_giddens,life politics
reflexivity_giddens,disembedding mechanisms
reflexivity_giddens,reflexive appropriation of knowledge
reflexivity_giddens,double hermeneutic
reflexivity_giddens,discursive consciousness
reflexivity_giddens,practical consciousness
reflexivity_standpoint,standpoint theory
reflexivity_standpoint,standpoint epistemology
reflexivity_standpoint,situated knowledge
reflexivity_standpoint,strong objectivity
reflexivity_standpoint,feminist standpoint
reflexivity_standpoint,marginalized standpoint
reflexivity_standpoint,epistemic advantage
reflexivity_standpoint,privileged epistemic position
reflexivity_harding,strong reflexivity
reflexivity_harding,situated knowledges
reflexivity_harding,feminist objectivity
reflexivity_harding,standpoint methodology
reflexivity_critical,critical reflexivity
reflexivity_critical,radical reflexivity
reflexivity_critical,transformative reflexivity
reflexivity_critical,emancipatory reflexivity
reflexivity_critical,decolonial reflexivity
reflexivity_critical,critical self-reflection
reflexivity_ethnography,reflexive ethnography
reflexivity_ethnography,auto-ethnography
reflexivity_ethnography,researcher positionality
reflexivity_ethnography,ethnographic authority
reflexivity_intersectional,intersectional analysis
reflexivity_intersectional,intersectional reflexivity
reflexivity_intersectional,intersectional analysis
reflexivity_intersectional,reflexive intersectionality
reflexivity_intersectional,intersectional positioning
reflexivity_intersectional,matrix of domination
reflexivity_intersectional,interlocking oppressions
reflexivity_feminist,feminist reflexivity
reflexivity_feminist,reflexive feminism
reflexivity_feminist,feminist methodology
reflexivity_feminist,personal as political
reflexivity_lynch,mechanical reflexivity
reflexivity_lynch,methodological reflexivity
reflexivity_lynch,meta-theoretical reflexivity
reflexivity_lynch,interpretative reflexivity
reflexivity_lynch,ethnomethodological reflexivity
reflexivity_beck,risk society
reflexivity_beck,reflexive modernization
reflexivity_beck,second modernity
reflexivity_beck,institutional reflexivity
reflexivity_lash,aesthetic reflexivity
reflexivity_lash,hermeneutic reflexivity
reflexivity_lash,reflexive community
