doi,paragraph_index,topic,term,count
10.1002symb.454,34,2,field,1
10.1002symb.454,34,2,capital,22
10.1002symb.454,34,2,economic capital,1
10.1002symb.454,34,2,cultural capital,2
10.1002symb.454,34,2,social capital,4
10.1002symb.454,34,2,symbolic capital,2
10.1002symb.460,35,3,symbolic violence,1
10.1002symb.460,36,4,habitus,1
10.1002symb.460,36,4,capital,1
10.1002symb.460,36,4,doxa,1
10.1002symb.460,36,4,symbolic violence,2
10.1002symb.5,37,1,doxa,2
10.1002symb.504,38,1,reflexive,4
10.1002symb.504,38,1,habitus,2
10.1002symb.504,38,1,field,1
10.1002symb.504,38,1,doxa,4
10.1002symb.504,39,1,reflexive,5
10.1002symb.504,39,1,reflexively,1
10.1002symb.504,39,1,habitus,1
10.1002symb.504,39,1,field,1
10.1002symb.504,39,1,doxa,2
10.1002symb.504,40,1,reflexive,1
10.1002symb.504,40,1,reflexively,1
10.1002symb.504,40,1,doxa,2
10.1002symb.504,41,1,field,1
10.1002symb.504,42,1,habitus,4
10.1002symb.504,42,1,field,1
10.1002symb.504,43,1,habitus,4
10.1002symb.504,44,1,habitus,2
10.1002symb.504,44,1,field,3
10.1002symb.504,44,1,doxa,1
10.1002symb.504,45,1,doxa,2
10.1002symb.504,46,1,habitus,3
10.1002symb.504,46,1,field,2
10.1002symb.504,46,1,capital,3
10.1002symb.504,46,1,doxa,1
10.1002symb.504,47,1,habitus,2
10.1002symb.504,47,1,field,2
10.1002symb.504,47,1,capital,3
10.1002symb.504,47,1,doxa,2
10.1002symb.504,48,3,capital,1
10.1002symb.504,48,3,doxa,1
10.1002symb.504,50,1,habitus,4
10.1002symb.504,50,1,capital,3
10.1002symb.504,50,1,illusio,1
10.1002symb.505,51,1,habitus,1
10.1002symb.505,51,1,field,1
10.1002symb.505,51,1,doxa,2
10.1002symb.505,52,3,habitus,1
10.1002symb.505,52,3,field,1
10.1002symb.51,53,4,capital,1
10.1002symb.51,53,4,doxa,1
10.1002symb.513,54,2,field,1
10.1002symb.513,55,3,capital,1
10.1002symb.513,56,3,doxa,1
10.1002symb.520,57,3,habitus,1
10.1002symb.520,57,3,illusio,1
10.1002symb.520,58,3,habitus,2
10.1002symb.520,58,3,illusio,1
10.1002symb.549,60,3,field,1
10.1002symb.563,61,3,habitus,2
10.1002symb.563,62,3,capital,1
10.1002symb.563,63,4,capital,2
10.1002symb.598,65,1,field,1
10.1002symb.605,66,0,reflexive,1
10.1002symb.661,68,4,field,1
10.1002symb.661,68,4,capital,1
10.1002symb.661,69,4,field,1
10.1002symb.661,69,4,capital,1
10.1002symb.661,70,4,symbolic violence,1
10.1002symb.74,72,0,capital,1
10.1002symb.74,72,0,cultural capital,1
10.1006ssre.1998.0618,75,2,doxa,1
10.1006ssre.1998.0618,76,2,capital,2
10.1006ssre.1998.0618,76,2,cultural capital,1
10.1006ssre.1998.0629,77,2,field,1
10.1006ssre.1998.0629,77,2,capital,4
10.1006ssre.1998.0629,77,2,cultural capital,1
10.1006ssre.1998.0629,77,2,social capital,1
10.1006ssre.1998.0629,78,2,capital,5
10.1006ssre.1998.0629,78,2,social capital,2
10.1006ssre.1998.0629,79,2,field,1
10.1006ssre.1998.0629,79,2,capital,5
10.1006ssre.1998.0629,79,2,cultural capital,2
10.1006ssre.1998.0629,79,2,social capital,3
10.1006ssre.1998.0642,80,2,capital,3
10.1006ssre.1998.0642,80,2,cultural capital,2
10.1006ssre.1999.0655,81,2,capital,1
10.1006ssre.1999.0655,82,0,doxa,1
10.1006ssre.1999.0655,84,2,capital,1
10.1006ssre.1999.0655,84,2,cultural capital,1
10.1006ssre.2001.0713,87,4,capital,2
10.1006ssre.2001.0713,87,4,social capital,2
10.1007bf00889072,89,3,field,2
10.1007bf01112731,90,0,field,3
10.1007bf01114392,93,0,capital,2
10.1007bf01114392,93,0,cultural capital,2
10.1007bf01114393,94,1,habitus,1
10.1007bf01114397,95,2,field,1
10.1007bf01114397,95,2,capital,1
10.1007bf01114397,95,2,cultural capital,1
10.1007bf01114397,97,2,capital,2
10.1007bf01114397,97,2,cultural capital,2
10.1007bf01114397,98,2,capital,4
10.1007bf01114397,98,2,cultural capital,4
10.1007bf01114397,99,2,capital,4
10.1007bf01114397,99,2,cultural capital,4
10.1007bf01114397,100,2,capital,4
10.1007bf01114397,100,2,economic capital,1
10.1007bf01114397,100,2,cultural capital,3
10.1007bf01114397,101,2,capital,2
10.1007bf01114397,101,2,economic capital,1
10.1007bf01114397,101,2,cultural capital,1
10.1007bf01114397,102,3,habitus,1
10.1007bf01114397,103,2,habitus,1
10.1007bf01114397,105,2,capital,1
10.1007bf01114397,105,2,cultural capital,1
10.1007bf01114397,107,2,capital,3
10.1007bf01114397,107,2,cultural capital,3
10.1007bf01114397,107,2,doxa,2
10.1007bf01114397,108,2,capital,1
10.1007bf01114397,108,2,cultural capital,1
10.1007bf01114397,109,2,capital,1
10.1007bf01114397,109,2,cultural capital,1
10.1007bf01114404,110,3,habitus,3
10.1007bf01114404,111,2,habitus,1
10.1007bf01114404,112,2,habitus,1
10.1007bf01114404,113,3,habitus,3
10.1007bf01114404,113,3,field,2
10.1007bf01114404,114,3,habitus,2
10.1007bf01114404,114,3,field,3
10.1007bf01114404,115,2,field,2
10.1007bf01114404,115,2,capital,1
10.1007bf01114404,116,2,capital,1
10.1007bf01115097,117,1,field,1
10.1007bf01115097,117,1,doxa,1
10.1007bf01115097,118,1,field,2
10.1007bf01115097,118,1,capital,1
10.1007bf01115390,119,1,field,1
10.1007bf01115493,120,0,capital,4
10.1007bf01115493,120,0,cultural capital,3
10.1007bf01466315,121,4,capital,1
10.1007bf01466315,121,4,social capital,1
10.1007bf01466315,122,4,capital,2
10.1007bf01466315,122,4,cultural capital,2
10.1007bf01466315,123,2,capital,1
10.1007bf01466315,123,2,cultural capital,1
10.1007bf01466315,124,1,field,1
10.1007bf01466315,124,1,capital,2
10.1007bf01466315,124,1,cultural capital,1
10.1007bf02393276,128,4,field,1
10.1007bf02393276,128,4,capital,1
10.1007bf02393276,128,4,cultural capital,1
10.1007bf02393276,129,4,symbolic violence,1
10.1007bf02393347,130,3,field,1
10.1007bf02408364,131,4,capital,2
10.1007bf02408366,132,1,capital,2
10.1007bf02408366,132,1,cultural capital,1
10.1007bf02408366,132,1,social capital,1
10.1007bf02408367,133,1,field,1
10.1007s10745-005-4142-9,137,4,capital,1
10.1007s10745-005-4142-9,137,4,cultural capital,1
10.1007s10745-005-8211-x,138,4,field,1
10.1007s10745-006-9071-8,141,1,symbolic power,1
10.1007s10745-006-9106-1,142,4,capital,6
10.1007s10745-006-9106-1,142,4,social capital,6
10.1007s10745-006-9106-1,142,4,doxa,1
10.1007s10745-007-9134-5,143,1,field,2
10.1007s10745-011-9420-0,145,3,habitus,5
10.1007s10745-011-9420-0,146,4,habitus,1
10.1007s10745-011-9420-0,146,4,capital,3
10.1007s10745-011-9420-0,146,4,cultural capital,3
10.1007s10745-012-9470-y,147,4,capital,5
10.1007s10745-012-9470-y,147,4,social capital,4
10.1007s10745-012-9477-4,148,4,capital,9
10.1007s10745-012-9477-4,148,4,economic capital,1
10.1007s10745-012-9477-4,148,4,cultural capital,3
10.1007s10745-012-9477-4,148,4,social capital,2
10.1007s10745-012-9477-4,149,4,capital,10
10.1007s10745-012-9477-4,149,4,economic capital,1
10.1007s10745-012-9477-4,149,4,cultural capital,3
10.1007s10745-012-9477-4,149,4,social capital,3
10.1007s10745-012-9554-8,150,4,field,1
10.1007s10745-012-9554-8,150,4,capital,1
10.1007s10745-012-9554-8,151,4,capital,3
10.1007s10745-012-9554-8,151,4,social capital,1
10.1007s10745-012-9554-8,151,4,symbolic capital,1
10.1007s10745-012-9561-9,152,4,capital,5
10.1007s10745-012-9561-9,152,4,economic capital,1
10.1007s10745-012-9561-9,152,4,social capital,1
10.1007s10745-012-9561-9,152,4,symbolic capital,2
10.1007s10745-014-9655-7,153,3,habitus,1
10.1007s10745-014-9655-7,153,3,doxa,1
10.1007s10745-014-9697-x,154,3,habitus,1
10.1007s10745-014-9705-1,155,4,capital,1
10.1007s10745-014-9705-1,155,4,social capital,1
10.1007s10745-016-9832-y,157,4,capital,4
10.1007s10745-016-9832-y,157,4,social capital,2
10.1007s10745-016-9845-6,158,4,capital,1
10.1007s10745-016-9845-6,158,4,cultural capital,1
10.1007s10745-017-9928-z,160,3,doxa,3
10.1007s10745-021-00221-4,164,4,capital,5
10.1007s10745-021-00221-4,164,4,doxa,1
10.1007s11133-005-8365-2,165,1,field,1
10.1007s11133-005-8365-2,165,1,capital,1
10.1007s11133-005-8365-2,166,3,capital,1
10.1007s11133-005-8366-1,168,2,capital,1
10.1007s11133-005-8366-1,168,2,cultural capital,1
10.1007s11133-005-8367-0,169,4,doxa,1
10.1007s11133-005-8367-0,170,3,doxa,1
10.1007s11133-005-8367-0,173,1,habitus,1
10.1007s11133-005-8367-0,173,1,illusio,1
10.1007s11133-005-8367-0,174,1,illusio,1
10.1007s11133-006-9013-1,178,3,habitus,2
10.1007s11133-006-9013-1,179,1,habitus,1
10.1007s11133-006-9021-1,180,4,field,1
10.1007s11133-006-9021-1,180,4,capital,4
10.1007s11133-006-9021-1,180,4,social capital,4
10.1007s11133-006-9026-9,182,1,doxa,1
10.1007s11133-006-9032-y,184,1,habitus,1
10.1007s11133-006-9032-y,184,1,doxa,1
10.1007s11133-006-9032-y,185,3,field,1
10.1007s11133-006-9032-y,186,1,doxa,1
10.1007s11133-006-9051-8,189,0,capital,1
10.1007s11133-006-9051-8,189,0,cultural capital,1
10.1007s11133-006-9053-6,190,4,habitus,1
10.1007s11133-006-9053-6,190,4,doxa,1
10.1007s11133-007-9060-2,193,1,field,1
10.1007s11133-007-9060-2,194,1,field,1
10.1007s11133-007-9060-2,196,1,doxa,1
10.1007s11133-007-9060-2,197,1,field,1
10.1007s11133-007-9060-2,199,1,field,1
10.1007s11133-007-9060-2,199,1,symbolic power,1
10.1007s11133-007-9060-2,200,3,doxa,1
10.1007s11133-007-9060-2,201,4,capital,4
10.1007s11133-007-9060-2,201,4,symbolic capital,1
10.1007s11133-007-9060-2,202,4,field,1
10.1007s11133-007-9060-2,202,4,capital,4
10.1007s11133-007-9060-2,202,4,social capital,3
10.1007s11133-007-9060-2,202,4,doxa,1
10.1007s11133-007-9060-2,203,1,field,2
10.1007s11133-007-9060-2,203,1,capital,4
10.1007s11133-007-9060-2,203,1,symbolic capital,2
10.1007s11133-007-9060-2,204,1,field,3
10.1007s11133-007-9060-2,204,1,capital,3
10.1007s11133-007-9060-2,204,1,symbolic capital,2
10.1007s11133-007-9060-2,205,1,capital,1
10.1007s11133-007-9068-7,206,0,habitus,1
10.1007s11133-007-9068-7,206,0,capital,1
10.1007s11133-007-9068-7,206,0,doxa,1
10.1007s11133-007-9069-6,208,2,capital,1
10.1007s11133-007-9069-6,208,2,cultural capital,1
10.1007s11133-007-9090-9,210,3,reflexivity,4
10.1007s11133-007-9090-9,210,3,reflexive,7
10.1007s11133-007-9090-9,210,3,field,1
10.1007s11133-007-9090-9,210,3,illusio,1
10.1007s11133-008-9120-2,211,0,capital,1
10.1007s11133-008-9121-1,212,1,field,1
10.1007s11133-008-9121-1,213,3,habitus,2
10.1007s11133-008-9121-1,213,3,doxa,1
10.1007s11133-008-9121-1,214,3,reflexivity,3
10.1007s11133-008-9121-1,214,3,reflexive,3
10.1007s11133-008-9121-1,214,3,habitus,3
10.1007s11133-008-9121-1,214,3,field,1
10.1007s11133-008-9121-1,214,3,capital,1
10.1007s11133-008-9121-1,214,3,doxa,1
10.1007s11133-008-9121-1,215,1,reflexivity,4
10.1007s11133-008-9121-1,215,1,reflexive,4
10.1007s11133-008-9121-1,215,1,epistemic reflexivity,1
10.1007s11133-008-9121-1,215,1,habitus,1
10.1007s11133-008-9121-1,215,1,field,1
10.1007s11133-008-9121-1,215,1,doxa,1
10.1007s11133-008-9121-1,216,1,reflexive,1
10.1007s11133-008-9121-1,216,1,field,2
10.1007s11133-008-9121-1,217,1,field,1
10.1007s11133-008-9121-1,217,1,doxa,1
10.1007s11133-009-9123-7,219,3,habitus,3
10.1007s11133-009-9125-5,221,4,capital,2
10.1007s11133-009-9125-5,221,4,symbolic capital,2
10.1007s11133-009-9125-5,222,4,field,2
10.1007s11133-009-9125-5,222,4,capital,1
10.1007s11133-009-9125-5,222,4,symbolic capital,1
10.1007s11133-009-9125-5,223,3,capital,9
10.1007s11133-009-9125-5,223,3,cultural capital,1
10.1007s11133-009-9125-5,223,3,symbolic capital,7
10.1007s11133-009-9125-5,224,3,capital,8
10.1007s11133-009-9125-5,224,3,cultural capital,1
10.1007s11133-009-9125-5,224,3,symbolic capital,5
10.1007s11133-009-9125-5,225,3,field,1
10.1007s11133-009-9125-5,225,3,capital,5
10.1007s11133-009-9125-5,225,3,symbolic capital,3
10.1007s11133-009-9141-5,226,3,habitus,1
10.1007s11133-009-9141-5,226,3,field,1
10.1007s11133-009-9141-5,226,3,capital,2
10.1007s11133-009-9141-5,226,3,cultural capital,1
10.1007s11133-009-9141-5,227,2,capital,6
10.1007s11133-009-9141-5,227,2,cultural capital,4
10.1007s11133-009-9141-5,228,2,capital,4
10.1007s11133-009-9141-5,228,2,cultural capital,1
10.1007s11133-010-9152-2,229,2,capital,4
10.1007s11133-010-9152-2,229,2,cultural capital,1
10.1007s11133-010-9152-2,229,2,social capital,2
10.1007s11133-010-9152-2,230,2,capital,4
10.1007s11133-010-9152-2,230,2,cultural capital,1
10.1007s11133-010-9152-2,230,2,social capital,2
10.1007s11133-010-9152-2,231,4,field,1
10.1007s11133-010-9152-2,232,0,field,1
10.1007s11133-010-9152-2,233,0,doxa,1
10.1007s11133-010-9153-1,234,3,capital,1
10.1007s11133-010-9153-1,234,3,cultural capital,1
10.1007s11133-010-9157-x,237,3,reflexive,1
10.1007s11133-010-9157-x,237,3,habitus,1
10.1007s11133-010-9157-x,237,3,field,1
10.1007s11133-010-9163-z,239,1,field,1
10.1007s11133-010-9164-y,240,0,reflexive,1
10.1007s11133-010-9164-y,241,3,field,2
10.1007s11133-010-9164-y,242,3,habitus,2
10.1007s11133-010-9164-y,242,3,field,1
10.1007s11133-010-9164-y,242,3,doxa,1
10.1007s11133-010-9164-y,243,0,habitus,1
10.1007s11133-010-9164-y,243,0,field,1
10.1007s11133-010-9164-y,243,0,doxa,2
10.1007s11133-010-9164-y,244,0,field,1
10.1007s11133-010-9164-y,244,0,doxa,1
10.1007s11133-010-9164-y,245,3,doxa,1
10.1007s11133-010-9169-6,247,3,habitus,1
10.1007s11133-010-9171-z,248,3,habitus,2
10.1007s11133-010-9175-8,250,3,habitus,1
10.1007s11133-010-9175-8,251,3,habitus,1
10.1007s11133-010-9175-8,251,3,field,1
10.1007s11133-010-9178-5,253,0,field,2
10.1007s11133-010-9178-5,254,0,field,1
10.1007s11133-010-9178-5,254,0,doxa,1
10.1007s11133-010-9178-5,255,0,field,1
10.1007s11133-010-9178-5,255,0,doxa,1
10.1007s11133-010-9178-5,256,0,field,1
10.1007s11133-010-9185-6,259,3,reflexivity,1
10.1007s11133-010-9185-6,259,3,reflexive,1
10.1007s11133-010-9185-6,259,3,habitus,2
10.1007s11133-010-9187-4,260,1,field,2
10.1007s11133-010-9187-4,261,1,field,6
10.1007s11133-010-9187-4,262,1,field,4
10.1007s11133-010-9187-4,263,1,reflexivity,1
10.1007s11133-010-9187-4,263,1,reflexive,1
10.1007s11133-010-9187-4,263,1,field,3
10.1007s11133-011-9211-3,269,1,field,2
10.1007s11133-011-9215-z,270,1,habitus,6
10.1007s11133-011-9215-z,270,1,capital,1
10.1007s11133-011-9215-z,271,3,habitus,4
10.1007s11133-011-9215-z,272,3,habitus,6
10.1007s11133-011-9215-z,273,3,habitus,7
10.1007s11133-011-9215-z,274,1,habitus,4
10.1007s11133-011-9215-z,275,3,habitus,3
10.1007s11133-011-9215-z,276,3,habitus,1
10.1007s11133-011-9215-z,277,3,habitus,4
10.1007s11133-011-9215-z,277,3,field,1
10.1007s11133-011-9215-z,278,3,habitus,5
10.1007s11133-011-9215-z,278,3,field,1
10.1007s11133-011-9215-z,279,3,habitus,4
10.1007s11133-011-9215-z,280,3,reflexive,1
10.1007s11133-011-9215-z,280,3,habitus,3
10.1007s11133-012-9240-6,281,3,field,1
10.1007s11133-012-9240-6,283,3,field,1
10.1007s11133-012-9240-6,283,3,capital,1
10.1007s11133-012-9240-6,284,3,capital,1
10.1007s11133-012-9240-6,285,3,habitus,1
10.1007s11133-012-9240-6,285,3,field,1
10.1007s11133-012-9240-6,285,3,capital,1
10.1007s11133-012-9240-6,287,3,capital,1
10.1007s11133-012-9240-6,287,3,cultural capital,1
10.1007s11133-012-9240-6,288,3,capital,1
10.1007s11133-012-9240-6,288,3,cultural capital,1
10.1007s11133-012-9240-6,289,3,doxa,1
10.1007s11133-012-9240-6,290,3,habitus,5
10.1007s11133-012-9240-6,290,3,field,2
10.1007s11133-012-9240-6,290,3,capital,2
10.1007s11133-012-9240-6,290,3,cultural capital,1
10.1007s11133-012-9240-6,290,3,doxa,1
10.1007s11133-012-9240-6,291,3,habitus,4
10.1007s11133-012-9240-6,291,3,field,3
10.1007s11133-012-9240-6,291,3,capital,1
10.1007s11133-012-9240-6,292,3,habitus,2
10.1007s11133-012-9240-6,292,3,field,6
10.1007s11133-012-9240-6,292,3,capital,1
10.1007s11133-012-9244-2,293,0,habitus,1
10.1007s11133-013-9248-6,294,4,doxa,1
10.1007s11133-013-9251-y,295,2,capital,2
10.1007s11133-013-9251-y,295,2,cultural capital,2
10.1007s11133-013-9251-y,296,2,capital,7
10.1007s11133-013-9251-y,296,2,cultural capital,7
10.1007s11133-013-9253-9,297,3,habitus,1
10.1007s11133-013-9253-9,297,3,field,2
10.1007s11133-013-9253-9,298,3,habitus,1
10.1007s11133-013-9253-9,298,3,field,1
10.1007s11133-013-9255-7,299,1,habitus,2
10.1007s11133-013-9262-8,300,1,doxa,2
10.1007s11133-014-9272-1,303,3,habitus,1
10.1007s11133-014-9272-1,304,3,habitus,1
10.1007s11133-014-9272-1,305,1,field,3
10.1007s11133-014-9272-1,305,1,doxa,1
10.1007s11133-014-9273-0,306,0,field,1
10.1007s11133-014-9273-0,306,0,illusio,1
10.1007s11133-014-9273-0,307,0,field,1
10.1007s11133-014-9273-0,307,0,illusio,1
10.1007s11133-014-9274-z,308,1,field,4
10.1007s11133-014-9274-z,309,1,reflexivity,1
10.1007s11133-014-9274-z,309,1,reflexive,1
10.1007s11133-014-9274-z,310,1,field,2
10.1007s11133-014-9275-y,311,1,field,1
10.1007s11133-014-9275-y,312,1,field,1
10.1007s11133-014-9275-y,312,1,doxa,1
10.1007s11133-014-9281-0,315,1,field,1
10.1007s11133-014-9281-0,315,1,capital,1
10.1007s11133-015-9301-8,316,4,field,1
10.1007s11133-015-9301-8,316,4,capital,7
10.1007s11133-015-9301-8,316,4,social capital,7
10.1007s11133-015-9305-4,317,3,doxa,1
10.1007s11133-015-9305-4,318,2,doxa,1
10.1007s11133-015-9305-4,319,3,doxa,1
10.1007s11133-015-9306-3,321,4,field,1
10.1007s11133-015-9306-3,321,4,doxa,1
10.1007s11133-015-9308-1,322,2,field,1
10.1007s11133-015-9308-1,323,2,field,1
10.1007s11133-015-9319-y,324,3,field,1
10.1007s11133-015-9319-y,324,3,capital,5
10.1007s11133-016-9328-5,326,1,field,4
10.1007s11133-016-9328-5,326,1,capital,1
10.1007s11133-016-9328-5,327,1,field,1
10.1007s11133-016-9335-6,328,1,field,2
10.1007s11133-016-9335-6,328,1,capital,1
10.1007s11133-016-9335-6,329,4,field,2
10.1007s11133-017-9353-z,331,1,doxa,1
10.1007s11133-017-9353-z,334,3,objectification,2
10.1007s11133-017-9353-z,335,1,objectification,2
10.1007s11133-017-9353-z,335,1,doxa,2
10.1007s11133-017-9353-z,336,1,doxa,2
10.1007s11133-017-9353-z,337,1,doxa,1
10.1007s11133-017-9353-z,337,1,illusio,1
10.1007s11133-017-9360-0,339,4,field,2
10.1007s11133-017-9360-0,339,4,capital,5
10.1007s11133-017-9360-0,339,4,cultural capital,1
10.1007s11133-017-9360-0,340,0,field,2
10.1007s11133-017-9360-0,340,0,capital,2
10.1007s11133-017-9360-0,340,0,cultural capital,1
10.1007s11133-017-9360-0,341,0,field,4
10.1007s11133-017-9360-0,341,0,capital,1
10.1007s11133-017-9360-0,341,0,cultural capital,1
10.1007s11133-017-9360-0,342,3,field,4
10.1007s11133-017-9360-0,342,3,capital,3
10.1007s11133-017-9360-0,342,3,cultural capital,1
10.1007s11133-017-9360-0,343,0,field,6
10.1007s11133-017-9360-0,343,0,capital,6
10.1007s11133-017-9360-0,343,0,cultural capital,5
10.1007s11133-017-9360-0,344,4,habitus,1
10.1007s11133-017-9360-0,344,4,field,5
10.1007s11133-017-9360-0,344,4,capital,7
10.1007s11133-017-9360-0,344,4,cultural capital,4
10.1007s11133-017-9360-0,344,4,social capital,1
10.1007s11133-017-9360-0,345,4,field,5
10.1007s11133-017-9360-0,345,4,capital,10
10.1007s11133-017-9360-0,345,4,cultural capital,7
10.1007s11133-017-9360-0,345,4,social capital,1
10.1007s11133-017-9360-0,346,0,field,4
10.1007s11133-017-9360-0,346,0,capital,3
10.1007s11133-017-9360-0,346,0,cultural capital,3
10.1007s11133-017-9360-0,347,0,capital,7
10.1007s11133-017-9360-0,347,0,cultural capital,6
10.1007s11133-017-9360-0,348,2,habitus,1
10.1007s11133-017-9360-0,348,2,field,1
10.1007s11133-017-9360-0,348,2,capital,12
10.1007s11133-017-9360-0,348,2,cultural capital,10
10.1007s11133-017-9360-0,348,2,doxa,1
10.1007s11133-017-9370-y,350,0,habitus,1
10.1007s11133-017-9370-y,350,0,field,1
10.1007s11133-017-9370-y,350,0,capital,1
10.1007s11133-017-9370-y,350,0,cultural capital,1
10.1007s11133-017-9370-y,351,0,habitus,3
10.1007s11133-017-9370-y,352,0,habitus,3
10.1007s11133-017-9370-y,353,0,habitus,2
10.1007s11133-017-9370-y,354,0,habitus,1
10.1007s11133-017-9370-y,354,0,capital,5
10.1007s11133-017-9370-y,354,0,cultural capital,5
10.1007s11133-017-9370-y,355,0,capital,4
10.1007s11133-017-9370-y,355,0,cultural capital,3
10.1007s11133-017-9370-y,355,0,symbolic capital,1
10.1007s11133-017-9370-y,356,0,field,4
10.1007s11133-017-9370-y,356,0,capital,2
10.1007s11133-017-9370-y,356,0,economic capital,1
10.1007s11133-017-9370-y,356,0,symbolic capital,1
10.1007s11133-017-9370-y,357,0,field,4
10.1007s11133-017-9370-y,357,0,capital,3
10.1007s11133-017-9370-y,357,0,economic capital,1
10.1007s11133-017-9370-y,357,0,cultural capital,1
10.1007s11133-017-9370-y,357,0,symbolic capital,1
10.1007s11133-018-9374-2,361,3,reflexive,2
10.1007s11133-018-9374-2,361,3,habitus,5
10.1007s11133-018-9374-2,361,3,field,2
10.1007s11133-018-9374-2,361,3,doxa,1
10.1007s11133-018-9393-z,362,0,habitus,1
10.1007s11133-018-9393-z,364,4,capital,6
10.1007s11133-018-9393-z,364,4,symbolic capital,6
10.1007s11133-018-9393-z,365,0,capital,1
10.1007s11133-018-9393-z,365,0,symbolic capital,1
10.1007s11133-018-9396-9,368,1,field,4
10.1007s11133-018-9396-9,369,1,field,5
10.1007s11133-018-9396-9,370,1,field,4
10.1007s11133-018-9396-9,370,1,illusio,1
10.1007s11133-018-9396-9,371,1,field,1
10.1007s11133-018-9396-9,371,1,illusio,1
10.1007s11133-018-9396-9,372,1,field,2
10.1007s11133-018-9396-9,372,1,illusio,1
10.1007s11133-018-9396-9,373,3,field,1
10.1007s11133-018-9396-9,373,3,capital,1
10.1007s11133-018-9396-9,374,3,field,1
10.1007s11133-018-9396-9,374,3,capital,1
10.1007s11133-018-9396-9,376,1,field,2
10.1007s11133-018-9396-9,376,1,capital,1
10.1007s11133-018-9396-9,376,1,social capital,1
10.1007s11133-018-9396-9,377,3,field,7
10.1007s11133-018-9396-9,377,3,capital,1
10.1007s11133-018-9396-9,377,3,social capital,1
10.1007s11133-018-9396-9,378,1,field,9
10.1007s11133-018-9396-9,379,1,field,7
10.1007s11133-018-9396-9,380,1,field,2
10.1007s11133-018-9396-9,381,1,field,3
10.1007s11133-018-9396-9,382,1,field,2
10.1007s11133-018-9396-9,383,1,field,1
10.1007s11133-018-9396-9,384,1,capital,2
10.1007s11133-018-9396-9,384,1,cultural capital,1
10.1007s11133-018-9396-9,384,1,social capital,1
10.1007s11133-018-9396-9,385,1,field,1
10.1007s11133-018-9396-9,385,1,capital,1
10.1007s11133-018-9396-9,385,1,social capital,1
10.1007s11133-018-9396-9,387,1,capital,2
10.1007s11133-018-9399-6,388,2,capital,5
10.1007s11133-018-9399-6,388,2,social capital,5
10.1007s11133-018-9402-2,389,1,field,2
10.1007s11133-018-9402-2,389,1,illusio,1
10.1007s11133-018-9402-2,390,1,field,3
10.1007s11133-018-9402-2,390,1,capital,7
10.1007s11133-018-9402-2,390,1,symbolic capital,2
10.1007s11133-018-9402-2,390,1,symbolic power,1
10.1007s11133-018-9402-2,391,4,habitus,1
10.1007s11133-018-9402-2,391,4,field,2
10.1007s11133-018-9402-2,391,4,capital,2
10.1007s11133-018-9402-2,391,4,symbolic capital,1
10.1007s11133-018-9402-2,391,4,symbolic power,1
10.1007s11133-018-9402-2,392,4,capital,1
10.1007s11133-018-9402-2,393,1,field,2
10.1007s11133-018-9402-2,393,1,capital,1
10.1007s11133-018-9402-2,393,1,symbolic power,1
10.1007s11133-018-9402-2,394,1,doxa,1
10.1007s11133-018-9402-2,394,1,illusio,3
10.1007s11133-018-9402-2,396,1,field,3
10.1007s11133-018-9404-0,397,4,field,1
10.1007s11133-018-9404-0,397,4,capital,1
